# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	155
#@/user_id	a67da375-4ab1-4331-be02-078713dfce08
a 	啊	c=1 d=0.722527 t=155
bao jing 	報警	c=1 d=0.752014 t=155
bei 	北	c=1 d=0.923116 t=155
bi 	比	c=1 d=0.814647 t=155
bu hao 	不好	c=1 d=0.718924 t=155
bu hui 	不會	c=1 d=0.831104 t=155
bu tai 	不太	c=0 d=0.0790571 t=155
bu tai yi yang 	不太一樣	c=1 d=0.794534 t=155
bu zhi dao 	不知道	c=1 d=0.647265 t=155
can liu 	殘留	c=1 d=0.965605 t=155
chong xin 	重新	c=1 d=0.970446 t=155
de 	的	c=15 d=10.4532 t=155
dei 	得	c=1 d=0.891366 t=155
di bu 	底部	c=1 d=0.726149 t=155
di fang 	地方	c=1 d=0.913931 t=155
dou 	都	c=1 d=0.806541 t=155
fa 	法	c=1 d=0.83527 t=155
fan ti 	繁體	c=1 d=0.995012 t=155
fang an 	方案	c=1 d=0.66034 t=155
fu wu 	服務	c=1 d=1.01405 t=155
gei 	給	c=0 d=0.0763379 t=155
guan zhu 	關注	c=1 d=0.66365 t=155
hai shi 	還是	c=1 d=0.666977 t=155
hai you 	還有	c=1 d=0.960789 t=155
hao dian 	好點	c=1 d=0.904837 t=155
he 	和	c=1 d=0.740818 t=155
he ni men 	和你們	c=1 d=0.786628 t=155
hen 	很	c=1 d=0.852144 t=155
hou 	後	c=1 d=0.955997 t=155
hui 	會	c=1 d=0.88692 t=155
ji zhu 	記住	c=1 d=0.951229 t=155
jian pan 	鍵盤	c=1 d=0.970446 t=155
jian ti 	簡體	c=1 d=0.873716 t=155
jing ji 	經濟	c=1 d=0.715338 t=155
jiu shi 	就是	c=1 d=0.918512 t=155
ju ti 	具體	c=1 d=0.970446 t=155
jue dui 	絕對	c=1 d=0.826959 t=155
kai men 	開門	c=1 d=0.771052 t=155
kan 	看	c=1 d=0.995012 t=155
lang gou 	狼狗	c=1 d=0.941765 t=155
lao 	老	c=0 d=0.0763379 t=155
lao mu zhu gei niu 	老母豬給牛	c=1 d=0.767206 t=155
le 	了	c=1 d=0.932394 t=155
liu ge 	六個	c=1 d=0.937067 t=155
ma fan 	麻煩	c=1 d=0.856415 t=155
me 	麼	c=1 d=0.822835 t=155
mei kan dao 	沒看到	c=1 d=0.860708 t=155
mei you 	沒有	c=1 d=0.88692 t=155
mu zhu 	母豬	c=0 d=0.0763379 t=155
na li 	哪裏	c=0 d=0.0923116 t=155
na zhi dao 	哪知道	c=1 d=0.822835 t=155
ne 	呢	c=11 d=7.19272 t=155
ni 	你	c=3 d=2.59994 t=155
ni de 	你的	c=1 d=0.67368 t=155
niu 	牛	c=0 d=0.0763379 t=155
pan duan 	判斷	c=1 d=0.697676 t=155
pin yin 	拼音	c=1 d=0.989457 t=155
qi shi 	其實	c=1 d=0.687289 t=155
qu 	取	c=1 d=0.995012 t=155
